article_title,revision_id,url,country,article_quality
Bedri Pejani,1220757655,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,C
Kadri Prishtina,1198167947,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,Start
Ymer Prizreni,1215667416,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,Start
Avni Rustemi,1229276965,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,Start
Chatin Sarachi,1141930406,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,C
Nebi Sefa,1244486537,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,Stub
Eduard Shalsi,1173107489,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,Start
Ylli Vesel Shehu,1250811470,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,Stub
Athanas Shundi,1220369492,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,C
Xhelal Sveçla,1217259369,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,Start
Mehmet Tahsini,1239924043,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,Stub
Ibrahim Temo,1228151428,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,GA
Afrim Tole,1241836925,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,Stub
Syreja Vlora,1186986269,https://en.wikipedia.org/wiki/Syreja_Vlora,Albania,Start
Visarion Xhuvani,1135323365,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,C
Visar Ymeri,1248230838,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,Stub
Visar Ymeri,1248230838,https://en.wikipedia.org/wiki/Visar_Ymeri,Kosovo,Stub
Abdyl Ypi,1220281072,https://en.wikipedia.org/wiki/Abdyl_Ypi,Albania,Stub
Xhezair Zaganjori,1143896123,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,Albania,Start
Menduh Zavalani,1235824554,https://en.wikipedia.org/wiki/Menduh_Zavalani,Albania,FA
Abdelkader Zoukh,1250270534,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,Algeria,Start
Chaâbane Aït Abderrahim,1234096174,https://en.wikipedia.org/wiki/Chaâbane_Aït_Abderrahim,Algeria,Start
Ali Aoun,1214835889,https://en.wikipedia.org/wiki/Ali_Aoun,Algeria,Start
Basma Azouar,1192088820,https://en.wikipedia.org/wiki/Basma_Azouar,Algeria,Stub
Mohamed Seghir Babes,1226280389,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,Algeria,Stub
Noureddine Bahbouh,1099284595,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,Algeria,Stub
Lamine Bechichi,1111537825,https://en.wikipedia.org/wiki/Lamine_Bechichi,Algeria,Stub
Aïssa Bekkai,1219685755,https://en.wikipedia.org/wiki/Aïssa_Bekkai,Algeria,Stub
Abdelhakim Belabed,1218173615,https://en.wikipedia.org/wiki/Abdelhakim_Belabed,Algeria,Start
Mohamed Tarek Belaribi,1241671793,https://en.wikipedia.org/wiki/Mohamed_Tarek_Belaribi,Algeria,Start
Kamel Beldjoud,1214832676,https://en.wikipedia.org/wiki/Kamel_Beldjoud,Algeria,Stub
Aboubakr Belkaid,1176411375,https://en.wikipedia.org/wiki/Aboubakr_Belkaid,Algeria,Start
Youcef Belmehdi,1239235131,https://en.wikipedia.org/wiki/Youcef_Belmehdi,Algeria,Stub
Mohamed Cherif Belmihoub,1226553342,https://en.wikipedia.org/wiki/Mohamed_Cherif_Belmihoub,Algeria,Start
Mohamed Belouizdad,1169278443,https://en.wikipedia.org/wiki/Mohamed_Belouizdad,Algeria,Start
Benaouda Hadj Hacène Bachterzi,1237478919,https://en.wikipedia.org/wiki/Benaouda_Hadj_Hacène_Bachterzi,Algeria,Stub
Souad Bendjaballah,1134649751,https://en.wikipedia.org/wiki/Souad_Bendjaballah,Algeria,Stub
Abdelkrim Benmbarek,1245801726,https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek,Algeria,Stub
Mohamed Bensalam,1235672021,https://en.wikipedia.org/wiki/Mohamed_Bensalam,Algeria,Stub
Fayçal Bentaleb,1217131488,https://en.wikipedia.org/wiki/Fayçal_Bentaleb,Algeria,Stub
Ahmed Bidani,1212186965,https://en.wikipedia.org/wiki/Ahmed_Bidani,Algeria,Start
